absorb;впитывать, поглощать
chef;шеф-повар
ant;муравей
hold on;держаться
ongoing;происходящий, продолжающий
shake off;отделаться
just;справедливый, беспристрастный
varnish;лак, лакировать
celestial;астрономический, небесный
funnel;воронка
mold (mould);форма, формировать
sausage;колбаса
disperse;рассеиваться
tune;мелодия, мотив
flea;блоха
pond;пруд
drastic;радикальный, резкий
relative;родственник
bring (brought, brought);принести
ominous;зловещий
lag;запаздывание
leak;утечка, просачиваться, протекать
equal;равный, равняться
crime;преступление
pristine;нетронутый, первозданный
by the way;кстати
firm;твёрдый
scream;кричать, крик, вопль
lapse;упущение, оплошность
tops;самое большое
improve;улучшить
succession;последовательность, преемственность
responsible;ответственный
brief;краткий
sex;пол
generation;поколение
beckon;манить
chop up;порезать (на кусочки)
adverb;наречие
exact;точный
buckle;пряжка
be after;иметь целью
tidy;опрятный, аккуратный
susceptible;восприимчивый, подверженный
pollute;загрязнять
latch;защёлка, засов
surge;волна, всплеск, вздыматься
guilt;вина
way;способ
skim;скользить (легко)
come down;сводиться
donate;жертвовать, скидываться
compress;сжимать, прессовать
accuse;обвинять
pound;фунт
protect;защищать
puff;дуновение, пых, клубы (дыма)
insight;понимание, догадка
according to;в соответствии
fair;справедливый, честный
prosecute;преследовать (законодательно)
garnish;гарнир, украшение
handbook;руководство, справочник
subside;утихать, спадать
maritime;морской
snort;фыркнуть, хмыкнуть
clap;хлопать в ладоши
helpful;полезный
front;перед, передний
contradict;противоречить
lavish;щедрый, роскошный
terminal;конечный, заключительный
candy;конфеты
topple;опрокинуть(ся)
slow down;замедлиться
sue;предъявить иск
pace;шаг, шагать
recur;повторяться, возвращаться
plausible;правдоподобный
crow;ворона
shatter;разрушить, раздробить
condition;условие
promote;поощрять, помогать
bright;яркий
odor (odour);запах
die out;вымереть
opinion;мнение
delusion;наваждение, заблуждение
shoot (shot, shot);стрелять
flesh;плоть, мясо
cinema;кино, кинотеатр
reason;разум, благоразумие
moron;дебил
mankind;человечество
get along;ладить
burden;бремя, нагружать
water down;разбавить, ослабить
mental;умственный
break out;сбежать, вырваться
income;доход
lens;линза, объектив
deputy;депутат, представитель
medium;средство, способ
formidable;внушительный, грозный
quaint;причудливый
rapid;быстрый
eventual;конечный, возможный
inflame;разжигать (в осн. перен.)
serve;сидеть (в тюрьме)
cope with;совладать, справиться
prevent smb from;мешать
terms;отношения
rigid;жесткий
get off;выходить (из транспорта)
ache;боль, болеть
acquaint;знакомить
watch;часы (наручные)
avoid;избегать
display;показ(ывать), демонстрировать
sum up;подытожить
speck;пятнышко, крупинка
proof;доказательство (неисч.)
posture;поза
beyond;вне, свыше
support;поддерживать
vocation;призвание или профессия
tilt;наклонять, наклон
issue;вопрос, проблема
skirt;юбка
squint;щуриться или коситься
wood;древесина, лес
scour;обыскать, прочесать
rabbit;кролик
fellow;парень, человек
abandon;оставить, забросить
thick;толстый
blow (blew blown);дуть
female;женский
plot;план, чертёж
conspire;сговариваться
transmit;передавать, переносить
urge;побуждать, гнать и т.д.
caviar;икра
survive;выжить
narrow;узкий
clergy;духовенство
make up for;компенсировать, наверстать
like;как
catch;расслышать, уловить
excellent;превосходный
uphold;соблюдать, поддерживать
motto;девиз
stalk;стебель
separate;отдельный, отделять
take on;набрать (напр. рабочих)
entity;сущность
sand;песок
society;общество
jet;реактивный двигатель/самолёт
put aside;отложить
bartender;бармен
subsist;существовать, прокормиться
vacation;отпуск, каникулы
salary;зарплата
recycle;перерабатывать
hustle;толкаться, торопиться
perk up;воспрянуть, оживиться
clear;ясный, чистый (пр. и перен.)
develop;развивать, разрабатывать
delicious;восхитительный (о еде)
poke out;высовывать
advise;советовать
weapon;оружие
probable;вероятный, возможный
vengeance;отмщение
work out;тренироваться
recruit;набирать, вербовать
invoke;взывать, призывать
recipient;получатель
naughty;непослушный
share;делить, доля
roll up;свернуть, скатать
shut (shut, shut);закрыть
chancellor;канцлер
trench;траншея
notify;известить
retarded;умственно отсталый
eternal;вечный
carrot;морковь
grit;твёрдость, стойкость
software;программое обеспечение
stellar;звездный
withhold;утаивать, удерживать
spear;копье
treat;обращаться, иметь дело
stool;табурет
stand;терпеть, выносить
token;знак, признак, маркер
ridge;хребет, ребро
honor (honour);честь, чтить
shrine;святыня
depress;угнетать, подавлять
head off;выйти, отправиться
basement;подвал
diverse;разнообразный
rifle;винтовка
mistake for;принимать за
tar;смола
loaf;буханка, булка
obstruct;препятствовать, загромождать
throat;горло
impending;предстоящий, грозящий
paper;бумага, документ
disturb;тревожить
nude;обнаженный
vanish;исчезнуть
capacity;ёмкость, вместимость
piss about;страдать хернёй
rude;грубый, неприличный
pronounce;произносить
flurry;поток, шквал
fuel;топливо, заправлять
drown;тонуть
grapple;сцепиться, бороться
possess;обладать
steel;сталь, стальной
initial;первоначальный
hunch;горб, горбиться
wear;надевать, носить
claw;коготь, клешня
bend down;наклониться
attack;нападать, нападение
former;бывший
crumble;крошить, рушиться
scramble;драка, схватка
unanimous;единогласный
scurry;бежать, сновать, суетиться
sleep around;трахаться, блудить
fit (fit, fit);подходить, помещаться
flap;створка, клапан, хлопать
margin;маржа, накрутка
swamp;болото, топь
do about;сделать (с чем-то)
agile;проворный, гибкий
boast;хвастать, хвастовство
commute;ходить, курсировать
imminent;неизбежный
trunk;багажник
term;термин
growl;рычать
converge;сходиться, сближаться
array;ряд, порядок, строй
yard;двор
substantive;существенный, основной
plum;слива
nostril;ноздря
retention;удержание, сохранение
sacred;священный
hallmark;характерная черта
magnitude;величина, сила
solid;твёрдый, крепкий
post;почта, почтовый
particular;частный, конкретный
mediocre;посредственный
rumor (rumour);слух
read out;огласить, зачитать вслух
slum;трущобы
calm down;успокоиться
plane;самолёт
brush;кисть, щётка, чистить
censorship;цензура
doom;гибель, рок, обречённость и т. д.
chill out;расслабиться
catering;общественное питание
take apart;разбирать
cherish;лелеять, хранить
limit;ограничивать, ограничение
omit;пропускать
cool;прохладный, свежий
let off;отпустить, дать отделаться
chant;петь, скандировать, песнопение
describe;описать
land;приземляться, высаживаться
go under;разориться
savor;вкус, смаковать
chop down;срубить (дерево)
object;возражать
subway;метро (амер.)
process;обработать
overlook;не заметить
exuberant;буйный, энергичный
save up;накопить
chaos;хаос
primitive;первобытный
bet;ставка, пари, держать пари
defy;пренебрегать, отрицать
sufficient;достаточный
agree;соглашаться
waiter;официант
tough;жёсткий, крепкий, тяжёлый
bare;голый
drop by;зайти (по пути)
fall out;ссориться
rotten;гнилой
grind (ground, groud);молоть, измельчать
haste;спешка
woe;горе
call on;обратиться, попросить
specify;указать, установить, уточнить
intersect;пересекаться
insect;насекомое
belief;убеждение, вера
heat up;разогреть
cover;накрывать, покрывать
scale;чешуя, шелуха
since;поскольку
sideways;вбок
farm;ферма
brag;хвастаться, кичиться
pit;яма
block out;блокировать, не пускать
mine;шахта, рудник
tail;хвост
edge;край
sloppy;небрежный, неряшливый
moth;мотылёк или моль
thrill;трепет, дрожь, дрожать
bead;шарик, бусинка
law;закон
step in;вмешаться
partisan;сторонник
hence;отсюда (следует, происходит)
baptize;крестить
dole;пособие по безработице
discourage;отговорить, демотивировать
relevant;уместный, актуальный
fend for (oneself);позаботиться о (себе)
transparent;прозрачный
attract;привлекать, притягивать
phony;фальшивый
plenty;множество, масса, достаток
foster;способствовать, питать и т.д.
twilight;сумерки
parlor;приёмная, салон
lane;полоса дороги
violate;нарушать
go out;погаснуть
plumbing;водопровод
spouse;супруг, супруга
fracture;перелом, разрушение
coat;пальто
probe;исследовать, проверить
alongside;рядом
run counter;противоречить
descend from;происходить от
angle;угол, угловой
bypass;обходить, обход
rim;край, обод
soot;сажа
pull through;выжить, выкарабкаться
frail;хилый
goal;цель
ambassador;посол
attempt;попытка, пытаться
resume;возобновить
distinguish;выделять, отличать
invent;изобретать
conceive;помыслить, представить
pledge;обещание, обязательство
entail;влечь за собой, подразумевать
close down;закрыться (насовсем)
cream;крем, сливки
trophy;трофей, приз
nutrient;питательный, пит. вещество
join;присоединить (ся)
longevity;долговечность, долголетие
vice;порок, недостаток
ludicrous;нелепый, смехотворный
go about;заниматься (делами)
comb;расческа, причёсывать
approve;утвердить, одобрить (офиц.)
exhibit;выставлять, показывать
wonder;хотеть знать
slice;ломтик, нарезать
sense;смысл, значение
village;деревня
slaughter;бойня (в т. ч. перен.), забивать
subsequent;последующий
nephew;племянник
swear;клясться
civil;гражданский
denounce;осуждать, разоблачать
outright;прямой, откровенный
go through;просмотреть, перебрать
come true;сбываться
vessel;сосуд
make up;помириться
sale;продажа, сбыт
conceal;скрывать
excerpt;выдержка, отрывок
accord;согласие
subject;предмет, тема
oral;устный, ротовой
consist of;состоять (из)
lord;господин, господь (бог)
volatile;изменчивый, нестабильный
get together;собираться
eligible;имеющий право
lantern;фонарь
lame;хромой
come across;встретить (случайно)
toddler;малыш (1- года)
bachelor;бакалавр
deep;глубокий
agreement;соглашение, договор
feeble;слабый, немощный
capture;захватить
onion;лук, луковица
outskirts;окраина, окрестности
rare;редкий
apt;склонный, способный
rite;церемония, ритуал
tug;тянуть, рывок
notion;понятие, представление
shower;душ
grave;могила
altogether;в целом
niece;племянница
sharp;острый
restore;восстанавливать
gulp;большой глоток, заглатывать
subscribe;подписываться
row;грести
plug;штепсель, включать
external;внешний
abound;изобиловать
jerk;дёргать, резкое движение
pedestrian;пешеход
mole;родинка
dude;чувак
grow (grew, grown);становиться
alien;чужак, пришелец, иммигрант
impact;воздействие, удар
prefer;предпочитать
mend;чинить, поправлять
newspaper;газета
schedule;график, расписание
tie;связывать, завязывать
entrepreneur;предприниматель
feel for;сочувствовать
shut out;не впускать
strain;напрягать, напряжение
recreation;отдых и развлечения
beep;гудок, гудеть, пищать
either;тоже (не)
fail;потерпеть неудачу
windowpane;оконное стекло
fasten;закрепить
salesperson;продавец (в магазине)
bucket;ведро, бадья
faint;обморок, падать в обморок
adjective;прилагательное
cast (cast, cast);отливать
daze;ошеломить
occupation;профессия, род деятельности
tumble;перевернуться, кувыркнуться
tier;ярус
dumb;немой
youngster;юноша, ребёнок
remain;оставаться
fault;вина, ошибка
ticket;билет, талон
simulate;моделировать, имитировать
fuss;суетиться
split up;разделиться
barber;парикмахер
hound;охотничья собака, об. гончая
act;действовать
tribe;племя
cell;ячейка, клетка
flight;бегство
gratitude;благодарность
fill in;заполнить
jump in;вмешаться
chapel;часовня
bill;банкнота
transfer;перевести, перевод
rank;ранг, разряд, звание
move over;подвинуться
curious;любопытный
sneakers;кеды, кроссовки
licence (license);разрешение
obvious;очевидный
dump;бросать (парня/девушку)
placement;размещение
stream;поток, ручей
adopt;усыновить или взять (животное)
medieval;средневековый
flip;переворачивать, перевёрнутый
emit;испускать, издавать
come off;отвалиться
delinquent;правонарушитель
intercourse;отношения или пол. сношение
replace;заменить
charity;благотворительность
add up;сходиться (об информации)
settle in;освоиться
be over;закончиться
zeal;рвение, усердие
hebrew;еврейский
freeway;автострада
represent;представлять
torch;факел, горелка
upwards (upward);вверх
swallow;проглатывать, глоток
labour;труд, трудиться
imply;подразумевать
mischief;вред, безобразие
response;ответ, отклик
flight attendant;бортпроводник
favor;благоприятствовать
drip;капля, капать
field;поле, область
across;за, через
spit (spat, spat);плевать
streak;полоса, след, струя
carve;вырезать (напр. из дерева)
drop off;завезти, высадить
dwindle;постепенно уменьшаться
be off;отсутствовать
board;борт, подниматься на борт
wardrobe;шкаф, гардероб
wallpaper;обои
sheet;лист
fisherman;рыбак
pay back;вернуть деньги
approximate;приблизительный
liaison;связь
slump;спад, сваливаться
earring;серьга
trunk;ствол дерева
skin;кожа
cord;верёвка, шнур
owl;сова
overtime;сверхурочная работа
margin;край, граница
pack;пачка, связка, колода, и т. д.
fertile;плодородный
swoop;кинуться, напасть
interact;взаимодействовать
highway;шоссе
give birth to;родить
bankrupt;банкрот, неплатежеспособный
tell off;ругать
extort;вымогать
notwithstanding;несмотря на
goods;товары
contain;содержать
rest;отдых, отдыхать
sit around;просто сидеть
grit;крошка, песок, гравий
revolt;восстание, бунт
peril;опасность, угроза
shelf (pl: shelves);полка, уступ
solemn;торжественный, серьёзный
engage in;заниматься, вступать, вовлекать
courage;мужество
borrow;брать взаймы
go along;поддерживать, соглашаться
merry;веселый
haul;тащить, тянуть, буксировать
propose;предлагать
wield;владеть, управляться
series;сериал
underwear;нижнее белье
fluctuate;колебаться
sting (stung, stung);жалить, жало
dash;разрушить (перен.)
friendly;дружелюбный
contrary;противоположный, вопреки
stance;поза, положение
regard;считать, рассматривать
ugly;безобразный, уродливый
hail;град
banish;отгонять
crumple;смять
private;частный, личный
intelligible;вразумительный, понятный
fog;туман
strip;полоса, лента
cloud;облако
arrogant;высокомерный
moose;лось
find out;выяснить
woo;ухаживать, добиваться
go off;сработать
slam;хлопать, ударять, захлопывать
wad;комок или пачка (денег)
burn out;выгореть, перегореть
base;основа, основывать
sentence;предложение
ram;баран
theater (theatre);театр
come to life;оживать, приходить в себя
persecute;преследовать, травить
clasp;застёжка, застёгивать
perhaps;возможно
intake;потребление, приём
gaze;пристально глядеть
paragraph;абзац, пункт
appoint;назначать, утверждать
boobs;титьки
gap;разрыв, пробел
chart;схема, график, таблица
deploy;развёртывать
watchful;бдительный
lazy;ленивый
insist;настаивать
immense;огромный
punish;наказывать
point out;указать
distant;отдалённый
anywhere;где угодно, куда угодно
symbol;символ
roast;жарить
equity;равноправие, справедливость
noise;шум
glacier;ледник
facilitate;облегчать, способствовать
bracket;скобка
shallow;мелкий
ordinary;обычный
apart;отдельно, врозь
submit;подавать информацию
island;остров
interpret;истолковывать
crust;кора, корка
ancient;древний
bench;скамейка
damp;сырой, сырость
take a look;взглянуть
pack;упаковывать, собирать
deceased;покойный, усопший
mark;метка, отмечать
legislation;законодательство
outing;прогулка, пикник и т. д.
feat;подвиг, свершение
spell;заклинание, чары
produce;производить
sentiment;настроение, чувство
arson;поджог
hold on;оставаться на линии
valve;задвижка, вентиль
state;состояние
cancel;отменять
penalty;наказание
starve;голодать
tip;совет, рекомендация
mash;разминать, месиво
relieve;облегчить, освободить
view;вид, взгляд
steep;крутой
shrewd;проницательный
exhaust;исчерпывать, истощать
fountain;фонтан
cupboard;шкаф, буфет
lawsuit;тяжба, судебное дело
stain;пятно, окрашиваться, пачкать
belong to;принадлежать
bishop;епископ
task;задание, задача
mound;насыпь, бугор
peasant;крестьянин
advantage;преимущество
commonwealth;содружество
kin (pl:kin);родственник
weird;нереальный, странный
rack;стеллаж, вешалка, подставка
catch up on;следить быть в курсе
queer;странный, чудной
affirm;утверждать, подтверждать
fingertip;кончик пальца
shed;сарай, ангар и т.п.
selfish;эгоистичный
famine;голод
spring (sprang, sprung);прыгать
rice;рис
for the sake of;ради
signify;означать
fret;волновать (ся)
tinker with;возиться, пытаться сделать
undergo;пройти через, подвергнуться
transition;переход
grunt;хрюкать
pound;долбить, толочь
area;область, участок
thorough;основательный, полный
bark;лаять
mistress;любовница
borough;район, место
failure;неудача, провал
rebound;отскочить, рикошет
jut;выступать, выдаваться
show off;показать всем, похвастаться
upside down;вверх ногами
teenage;возраста 1-19
memory;память
household;домашний, домохозяйство
slope;склон, наклон
forth;дальше, вперёд
team;команда, бригада
overall;общий, целый
put together;собирать, соединять
prey;добыча
up-to-date;современный, актуальный
onward (onwards);далее
tumor (tumour);опухоль
go against;противоречить
climax;кульминация, разгар
coach;тренер
cleanse;очищать
awesome;здорово, классно
bizarre;странный, причудливый
copper;медь
allure;очарование, очаровывать
pin;булавка, штырь, прикалывать
set about;приступить, начать
turn over;перевернуть
treaty;договор (между гос-вами)
paperwork;оформление бумаг
surgery;хирургия, операция
corps;корпус
manufacture;производить, производство
crayon;цветной карандаш, мелок
pay off;расплатиться (с долгом)
tongue;язык
propagate;размножать, распространять
desperate;отчаянный, безвыходный
flaw;изъян
although;хотя и
cattle;крупный рогатый скот
suffocate;задыхаться
utility;полезность
deal;сделка
lineage;родословная
origin;происхождение, начало
backdrop;фон
cedar;кедр
tube;труба
infer;делать вывод
coherent;согласованный, связный
amend;исправить, улучшить
accelerate;ускорять
set smb back;обойтись в (сумму)
shaft;шахта (напр. лифта)
trial;испытание, пробный
fend off;защищаться
foam;пена
obtain;получить, обрести
craft;ремесло, мастерство
explore;изучать
come from;быть из
novelty;новинка
at first;сначала
innocent;невинный, невиновный
submit to;подчиниться
hug;объятие, обнимать
consume;потреблять
come about;произойти
grin;ухмыляться, ухмылка, оскал
honey;мёд
draw (drew, drawn);тянуть, влечь
favor (favour);услуга
choke;задыхаться,  давиться
obstacle;препятствие
original;первоначальный, первоисточник
balloon;воздушный шар
point;пункт
beige;бежевый
bunk;койка, спальное место
slide (slid, slid);скользить
animate;живой, одушевлённый, оживлять
tell on;донести на кого-то
overnight;ночной, с ночёвкой
square;площадь
quality;качество, качественный
bitter;горький
inevitable;неизбежный
forecast;прогноз
tempt;искушать
scout;разведчик
merit;заслуга, заслуживать
amateur;любитель, любительский
grief;горе
rash;опрометчивый, необдуманный
bulk;основная масса
care;переживать, интересоваться
hover;зависнуть, парить
significant;значительный
falter;колебаться, дрогнуть
testify;свидетельствовать
remark;замечать, замечание
elbow;локоть
possible;возможный
consent;согласие, разрешение
seep;просачиваться, проникать
outstanding;неоплаченный, нерешённый
twirl;вертеть
fleet;флот
dependent;зависимый
suit;костюм, комплект
shape;форма, формировать
state;заявить, отметить
care;забота, уход
gauge;измерить, изм. прибор
affair;дело, занятие
postpone;отложить, задержать
duration;продолжительность
dislocate;вывихнуть, сместить
spike;шип, штырь, острие, клин
urban;городской
ditch;ров
turn off;выключить
bloat;раздуваться
indeed;в самом деле
fine;хороший
freak out;пугать или бесить
hypocrite;лицемер
come along;продвигаться (о работе)
affiliate;филиал, отделение, мл. партнёр
scent;нюх или аромат
safe;надёжный, защищённый
bachelor;холостяк
rigorous;строгий, тщательный
prevent;предотвращать
undertake;предпринимать
send (sent, sent);отправить
hit on;клеить, подкатывать
capacity;способность, возможность
forge;подделывать
horn;рог
peanut;арахис
luncheon;завтрак
assemble;собирать
savings;сбережения
leftover;остаток
look into;посмотреть, изучить
casual;случайный
cathedral;собор
witness;свидетель
braid;коса или оплётка
commend;высоко оценивать
petty;мелкий, мелочный
shimmer;мерцать, переливаться
joint;совместный, объединённый
glue;клей, клеить
below;ниже, под
explicit;явный, откровенный
clamp;зажимать, зажим
bring back;вернуть
hoop;обруч, обод
lament;оплакивать, сожалеть
destiny;судьба, предназначение
available;доступный, в наличии
line;строка
stride (strode, stridden);шагать, шаг
bring up;воспитывать
proximity;близость
stick to;придерживаться, соблюдать
lap;колени
option;выбор, вариант
deny;отрицать
elude;ускользнуть, увернуться
high-end;высококлассный, лидирующий
rob;грабить, отнимать
integrity;честность, порядочность
paw;лапа
creature;существо
fall in love with;влюбиться
lay out;выложить, разложить
latter;последний (из названных)
lipstick;губная помада
urgent;срочный
viable;жизнеспособный
hook;крюк, зацеплять
warp;деформироваться
carcass;туша
await;ожидать
rugged;неровный, грубый
offspring;отпрыск или всё потомство
rivet;заклёпка, приковывать, клепать
hole;дыра
appal;потрясать, ужасать
suitcase;чемодан
pull off;справиться, вытянуть
common;обычный, распространённый
probe;датчик, зонд
increase;увеличивать(ся), увеличение
taste;вкус, иметь вкус
date;свидание, встречаться
supply;предложение
neither;ни один из двух
harness;запрягать, обуздывать
onset;начало, наступление
jingle;звенеть, звон
seldom;редко
verse;стих
title;заголовок
hammer;молоток
appropriate;подходящий, присущий
tank;бак
preliminary;предварительный
trial;судебный процесс
pot;горшок, кастрюля
cloak;плащ, мантия, покров
vegetable;овощ
irritate;раздражать
realm;царство или область (перен.)
slut;шлюха
dizzy;головокружительный
vague;смутный
set out for;отправиться
hunger;голод
ruler;линейка
berth;койка, место, полка в поезде
peer;вглядываться
slash;рубить, хлестать, кромсать
interrogate;допрашивать
mold (mould);плесень
custom;заказной, индивидуальный
rumble;грохот, рокот
guest;гость
slit;щель
successor;преемник
liver;печень
pocket;карман, карманный
miss;скучать
offset;смещение
whisper;шептать
perennial;многолетний, вечный
retrieve;извлечь, вернуть
reserve;запас, запасной, запасать
haircut;стрижка, причёска
pump;насос, нагнетать
fright;испуг
witch;ведьма
nuclear;ядерный
reserve;бронировать
lightning;молния
attic;чердак
tend;иметь склонность
collect;собирать
thunder;гром
roll;рулон, клубок, свиток и т. д.
appear;казаться
predecessor;предшественник
nasty;противный
prone;склонный
nerve;смелость
coast;побережье
collide;сталкиваться
cargo;груз, грузовой
slant;наклон, скос, наклонять
special;особенный, специальный
frayed;потрёпанный
mess up;испортить, накосячить
shepherd;пастух
threat;угроза
sum;сумма, суммировать
fan;вентилятор
expand;расширять, распространять
helicopter;вертолёт
livestock;скот
back down;отступить, отказаться
serene;безмятежный, безоблачный
duckling;утёнок
coat;покрывать
dilute;разбавлять, разводить
oats;овес, овсянка
rest;остаток, остальное
major;главный, большой
audience;аудитория (люди)
upset;расстраивать, расстроенный
check;проверить
exist;существовать
take;воспринимать
plaster;штукатурка или гипс
naked;голый
subdue;подавить, укротить
solve;решить
drill;сверло, сверлить
useful;полезный
earn;зарабатывать
hardy;выносливый
bring in;привлечь
pan;сковорода
follow;следовать, следить
come into;унаследовать
excite;волновать, возбуждать
grab;схватить, нахапать и т.д.
smear;мазать
complement;допонять, дополнение
ivory;слоновая кость
playground;детская площадка
pasture;пастбище
bid;заявка, предложение цены
integrity;целостность
chord;аккорд
amount;количество (неисчисл.)
ought;должен, обязан
taint;загрязнить, испортить
slip;скользнуть
dense;густой
scheme;схема
tedious;утомительный, нудный
interfere;вмешиваться, мешать
squid;кальмар
line;линия, ряд
trade;торговля, торговый
meager;скудный, недостаточный
announce;объявлять
devastate;опустошать, разорять
register;касса (магазина)
sell out of;распродать (весь товар)
hush;молчать
pick on;дразнить, докучать
south;юг, южный
haunt;являться, преследовать (перен.)
will;воля, желание
quiz;викторина, тест, опрос
spoil;портить
look forward;ожидать, предвкушать
provided;при условии
make of;извлечь, получить
benevolent;благожелательный
square;квадрат, квадратный
compose;составлять, сочинять
get;становиться
puddle;лужа
outlet;выход  (отверстие)
conclude;заключать, завершать
keep on;продолжать делать
extinguish;погасить
attend;уделить внимание, посетить
accurate;точный
invade;вторгаться
bring out;выпустить (новинку и т.д.)
tax;налог
tender;нежный
dusk;смеркаться
check out;посмотреть, заценить
widow;вдова
splash;брызги, всплеск
drills;тренировка, учение
sweat;пот, потеть
saucer;блюдце
smuggle;провозить тайно
snack;лёгкая закуска
cookie;печенье
demand;требовать
rake;грабли
wink;подмигивать
sudden;внезапный
at last;наконец
